zone,hour_ts,hour,pred_utilization,price_threshold,price_smooth
1000,2022-07-13 05:00:00,5,0.34754372,15.0,15.534631930639861
1000,2022-07-13 06:00:00,6,0.35218015,15.0,15.576359800639862
1000,2022-07-13 07:00:00,7,0.3053089,15.0,15.15451855063986
1000,2022-07-13 08:00:00,8,0.24155898,15.0,14.58076927063986
1000,2022-07-13 09:00:00,9,0.2014624,15.0,14.219900050639861
1000,2022-07-13 10:00:00,10,0.17475533,10.5,13.97953642063986
1000,2022-07-13 11:00:00,11,0.15909065,10.5,13.838554300639862
1000,2022-07-13 12:00:00,12,0.17229262,10.5,13.95737203063986
1000,2022-07-13 13:00:00,13,0.18620504,15.0,14.082583810639859
1000,2022-07-13 14:00:00,14,0.17252997,10.5,13.95950818063986
1000,2022-07-13 15:00:00,15,0.22790198,15.0,14.457856270639859
1000,2022-07-13 16:00:00,16,0.17172602,10.5,13.952272630639861
1000,2022-07-13 17:00:00,17,0.17249016,10.5,13.95914989063986
1000,2022-07-13 18:00:00,18,0.18832307,15.0,14.10164608063986
1000,2022-07-13 19:00:00,19,0.2259157,15.0,14.43997975063986
1000,2022-07-13 20:00:00,20,0.29040527,15.0,15.020385880639859
1000,2022-07-13 21:00:00,21,0.3227538,15.0,15.311522650639859
1000,2022-07-13 22:00:00,22,0.3829913,15.0,15.85366015063986
1000,2022-07-13 23:00:00,23,0.3946501,15.0,15.958589350639862
1000,2022-07-14 00:00:00,0,0.40541586,15.0,16.05548119063986
1000,2022-07-14 01:00:00,1,0.3865086,15.0,15.88531585063986
1000,2022-07-14 02:00:00,2,0.38595054,15.0,15.880293310639859
1000,2022-07-14 03:00:00,3,0.40437827,15.0,16.04614288063986
1000,2022-07-14 04:00:00,4,0.39877126,15.0,15.99567979063986
1000,2022-07-14 05:00:00,5,0.39301378,15.0,15.943862470639859
1000,2022-07-14 06:00:00,6,0.38977706,15.0,15.914731990639861
1000,2022-07-14 07:00:00,7,0.32565427,15.0,15.33762688063986
1000,2022-07-14 08:00:00,8,0.24468133,15.0,14.60887042063986
1000,2022-07-14 09:00:00,9,0.18328972,15.0,14.05634593063986
1000,2022-07-14 10:00:00,10,0.13908021,10.5,13.658460340639861
1000,2022-07-14 11:00:00,11,0.14645305,10.5,13.724815900639861
1000,2022-07-14 12:00:00,12,0.16301824,10.5,13.873902610639862
1000,2022-07-14 13:00:00,13,0.15862611,10.5,13.83437344063986
1000,2022-07-14 14:00:00,14,0.16739033,10.5,13.91325142063986
1000,2022-07-14 15:00:00,15,0.173295,10.5,13.966393450639861
1000,2022-07-14 16:00:00,16,0.17531237,10.5,13.98454978063986
1000,2022-07-14 17:00:00,17,0.17900562,10.5,14.017789030639861
1000,2022-07-14 18:00:00,18,0.19114755,15.0,14.12706640063986
1000,2022-07-14 19:00:00,19,0.27159667,15.0,14.85110848063986
1000,2022-07-14 20:00:00,20,0.33661553,15.0,15.436278220639858
1000,2022-07-14 21:00:00,21,0.38965827,15.0,15.913662880639858
1000,2022-07-14 22:00:00,22,0.444802,19.5,16.40995645063986
1000,2022-07-14 23:00:00,23,0.4176271,15.0,16.16538235063986
1000,2022-07-15 00:00:00,0,0.41680095,15.0,16.15794700063986
1000,2022-07-15 01:00:00,1,0.40827933,15.0,16.08125242063986
1000,2022-07-15 02:00:00,2,0.42567816,19.5,16.23784189063986
1000,2022-07-15 03:00:00,3,0.43103316,19.5,16.28603689063986
1000,2022-07-15 04:00:00,4,0.4308027,19.5,16.28396275063986
1000,2022-07-15 05:00:00,5,0.43338898,19.5,16.30723927063986
1000,2022-07-15 06:00:00,6,0.41935158,15.0,16.180902670639863
1000,2022-07-15 07:00:00,7,0.34645548,15.0,15.52483777063986
1000,2022-07-15 08:00:00,8,0.2882493,15.0,15.00098215063986
1000,2022-07-15 09:00:00,9,0.2284494,15.0,14.46278305063986
1000,2022-07-15 10:00:00,10,0.1811309,10.5,14.03691655063986
1000,2022-07-15 11:00:00,11,0.18669884,15.0,14.08702801063986
1000,2022-07-15 12:00:00,12,0.1883902,15.0,14.102250250639859
1000,2022-07-15 13:00:00,13,0.18259661,15.0,14.050107940639862
1000,2022-07-15 14:00:00,14,0.18131217,10.5,14.03854798063986
1000,2022-07-15 15:00:00,15,0.18753012,15.0,14.094509530639861
1000,2022-07-15 16:00:00,16,0.18123455,10.5,14.03784940063986
1000,2022-07-15 17:00:00,17,0.18243533,15.0,14.04865642063986
1000,2022-07-15 18:00:00,18,0.21213484,15.0,14.31595201063986
1000,2022-07-15 19:00:00,19,0.2876959,15.0,14.99600155063986
1000,2022-07-15 20:00:00,20,0.3373391,15.0,15.442790350639859
1000,2022-07-15 21:00:00,21,0.3404082,15.0,15.47041225063986
1000,2022-07-15 22:00:00,22,0.34104088,15.0,15.47610637063986
1000,2022-07-15 23:00:00,23,0.3749874,15.0,15.78162505063986
1000,2022-07-16 00:00:00,0,0.37331247,15.0,15.76655068063986
1000,2022-07-16 01:00:00,1,0.36382005,15.0,15.68111890063986
1000,2022-07-16 02:00:00,2,0.37220782,15.0,15.756608830639859
1000,2022-07-16 03:00:00,3,0.37791947,15.0,15.808013680639858
1000,2022-07-16 04:00:00,4,0.3811803,15.0,15.837361150639861
1000,2022-07-16 05:00:00,5,0.3781005,15.0,15.809642950639859
1000,2022-07-16 06:00:00,6,0.37114918,15.0,15.747081070639858
1000,2022-07-16 07:00:00,7,0.35562485,15.0,15.60736210063986
1000,2022-07-16 08:00:00,8,0.3254037,15.0,15.335371750639862
1000,2022-07-16 09:00:00,9,0.23730302,15.0,14.54246563063986
1000,2022-07-16 10:00:00,10,0.18447003,15.0,14.06696872063986
1000,2022-07-16 11:00:00,11,0.17623782,10.5,13.99287883063986
