zone,hour_ts,utilization,volume,price,capacity,CBD,pred_utilization,pred_congest_prob,pred_charging_load
1000,2022-07-13 05:00:00,0.35233160621761656,26.25,0.9049333330000001,193,0,0.34754372,0.0,25.744259077272183
1000,2022-07-13 06:00:00,0.34283246977547494,25.714305555833334,0.9049333330000001,193,0,0.35218015,0.0,25.7487473384645
1000,2022-07-13 07:00:00,0.2979274611398964,22.494629630000002,0.9049333330000001,193,0,0.3053089,0.0,25.584571945083976
1000,2022-07-13 08:00:00,0.2392055267702936,17.651990740833334,0.9049333330000001,193,0,0.24155898,0.0,21.797229841849898
1000,2022-07-13 09:00:00,0.1973229706390328,14.191527779166668,0.9049333330000001,193,0,0.2014624,0.0,15.906468365328278
1000,2022-07-13 10:00:00,0.16709844559585493,11.446620371666667,0.9049333330000001,193,0,0.17475533,0.0,12.90756167711215
1000,2022-07-13 11:00:00,0.16580310880829016,11.450509259166667,0.9049333330000001,193,0,0.15909065,0.0,10.952177128106259
1000,2022-07-13 12:00:00,0.18350604490500863,12.6769675925,0.9049333330000001,193,0,0.17229262,0.0,11.482101695032027
1000,2022-07-13 13:00:00,0.18393782383419688,12.524976852499998,0.9049333330000001,193,0,0.18620504,0.0,12.970043629437255
1000,2022-07-13 14:00:00,0.22884283246977546,12.270497685833334,0.9049333330000001,193,0,0.17252997,0.0,12.588427592016279
1000,2022-07-13 15:00:00,0.17875647668393782,10.912060185083334,0.9049333330000001,193,0,0.22790198,0.0,12.010834112437381
1000,2022-07-13 16:00:00,0.16882556131260795,10.4991087965,0.9049333330000001,193,0,0.17172602,0.0,10.767579337854384
1000,2022-07-13 17:00:00,0.17227979274611396,11.042986110833333,0.9049333330000001,193,0,0.17249016,0.0,10.33432898183358
1000,2022-07-13 18:00:00,0.1994818652849741,13.48974537,0.9049333330000001,193,0,0.18832307,0.0,10.94290197811982
1000,2022-07-13 19:00:00,0.26381692573402415,19.317569446666667,0.9049333330000001,193,0,0.2259157,0.0,13.554082547248145
1000,2022-07-13 20:00:00,0.3031088082901554,22.564953702500002,0.9049333330000001,193,0,0.29040527,0.0,19.62590053505786
1000,2022-07-13 21:00:00,0.37176165803108807,28.157337961666666,0.9049333330000001,193,0,0.3227538,0.0,22.97747047635323
1000,2022-07-13 22:00:00,0.3950777202072539,29.012893518333332,0.9049333330000001,193,0,0.3829913,0.0,27.9104481318278
1000,2022-07-13 23:00:00,0.39421416234887735,29.19048611166667,0.9049333330000001,193,0,0.3946501,0.0,28.48517549317868
1000,2022-07-14 00:00:00,0.38471502590673573,29.523310182499998,0.9049333330000001,193,0,0.40541586,0.0,28.420709604835615
1000,2022-07-14 01:00:00,0.38946459412780654,29.790590278333337,0.9049333330000001,193,0,0.3865086,0.0,28.584974066485287
1000,2022-07-14 02:00:00,0.40975820379965455,30.321585645,0.9049333330000001,193,0,0.38595054,0.0,28.622096277429407
1000,2022-07-14 03:00:00,0.4093264248704663,30.300601849166664,0.9049333330000001,193,0,0.40437827,0.0,29.93871977565707
1000,2022-07-14 04:00:00,0.39378238341968913,29.75,0.9049333330000001,193,0,0.39877126,0.0,29.800771676146464
